Date,Close,Estimated_PE
2023-11-06 05:00:00+00:00,45.7240524292,13.026795563874645
2023-11-07 05:00:00+00:00,45.9279327393,13.084881122307692
2023-11-08 05:00:00+00:00,46.5465698242,13.261131004045584
2023-11-09 05:00:00+00:00,46.9223403931,13.368188146182337
2023-11-10 05:00:00+00:00,48.3065299988,13.76254415920228
2023-11-13 05:00:00+00:00,48.5913581848,13.843691790541312
2023-11-14 05:00:00+00:00,49.626750946,14.138675483190884
2023-11-15 05:00:00+00:00,48.8592033386,13.920000951168092
2023-11-16 05:00:00+00:00,49.4508590698,14.08856383754986
2023-11-17 05:00:00+00:00,49.2689666748,14.036742642393163
2023-11-20 05:00:00+00:00,50.3793067932,14.35307885846154
2023-11-21 05:00:00+00:00,49.9145774841,14.220677345897437
2023-11-22 05:00:00+00:00,48.6873016357,13.87102610703704
2023-11-24 05:00:00+00:00,47.7478599548,13.603378904501426
2023-11-27 05:00:00+00:00,48.2135810852,13.736062987236467
2023-11-28 05:00:00+00:00,47.7928314209,13.6161912880057
2023-11-29 05:00:00+00:00,48.1116485596,13.707022381652422
2023-11-30 05:00:00+00:00,46.7424507141,13.316937525384617
2023-12-01 05:00:00+00:00,46.737449646,13.315512719658122
2023-12-04 05:00:00+00:00,45.4831924438,12.958174485413107
2023-12-05 05:00:00+00:00,46.5426673889,13.26001919911681
2023-12-06 05:00:00+00:00,45.4801940918,12.957320254074075
2023-12-07 05:00:00+00:00,46.5726470947,13.268560425840457
2023-12-08 05:00:00+00:00,47.4821929932,13.527690311452993
2023-12-11 05:00:00+00:00,46.6036338806,13.27738856997151
2023-12-12 05:00:00+00:00,47.6331176758,13.570688796524218
2023-12-13 05:00:00+00:00,48.0639038086,13.69341988849003
2023-12-14 05:00:00+00:00,48.3257675171,13.768024933646723
2023-12-15 05:00:00+00:00,48.8654975891,13.921794184928777
2023-12-18 05:00:00+00:00,50.051902771,14.25980135925926
2023-12-19 05:00:00+00:00,49.5791358948,14.125109941538462
2023-12-20 05:00:00+00:00,48.0868873596,13.69996790871795
2023-12-21 05:00:00+00:00,48.9654502869,13.950270737008548
2023-12-22 05:00:00+00:00,48.8055267334,13.904708471054132
2023-12-26 05:00:00+00:00,49.2542991638,14.032563864330484
2023-12-27 05:00:00+00:00,49.3922386169,14.071862853817665
2023-12-28 05:00:00+00:00,49.4971809387,14.101760951196582
2023-12-29 05:00:00+00:00,49.4971809387,14.101760951196582
2024-01-02 05:00:00+00:00,48.1438560486,13.716198304444445
2024-01-03 05:00:00+00:00,47.5451545715,13.545628083048435
2024-01-04 05:00:00+00:00,47.9739494324,13.667791861082621
2024-01-05 05:00:00+00:00,49.0723953247,13.98073940874644
2024-01-08 05:00:00+00:00,52.2268104553,14.879433178148147
2024-01-09 05:00:00+00:00,53.1133728027,15.132015043504275
2024-01-10 05:00:00+00:00,54.3227615356,15.47657023806268
2024-01-11 05:00:00+00:00,54.7945213318,15.61097473840456
2024-01-12 05:00:00+00:00,54.6825790405,15.5790823477208
2024-01-16 05:00:00+00:00,56.3537445068,16.055197865185185
2024-01-17 05:00:00+00:00,56.0249099731,15.961512812849005
2024-01-18 05:00:00+00:00,57.0783805847,16.261646890227922
2024-01-19 05:00:00+00:00,59.4611854553,16.940508676723645
2024-01-22 05:00:00+00:00,59.6240997314,16.98692300039886
2024-01-23 05:00:00+00:00,59.8429946899,17.04928623643875
2024-01-24 05:00:00+00:00,61.3312454224,17.473289294131057
2024-01-25 05:00:00+00:00,61.5861206055,17.545903306410256
2024-01-26 05:00:00+00:00,61.0004119873,17.379034754216526
2024-01-29 05:00:00+00:00,62.4336891174,17.787375816923078
2024-01-30 05:00:00+00:00,62.7425384521,17.87536708037037
2024-01-31 05:00:00+00:00,61.4961624146,17.52027419219373
2024-02-01 05:00:00+00:00,62.9954147339,17.947411605099717
2024-02-02 05:00:00+00:00,66.1268463135,18.839557354273506
2024-02-05 05:00:00+00:00,69.2972564697,19.742808111025642
2024-02-06 05:00:00+00:00,68.1888122559,19.42701203871795
2024-02-07 05:00:00+00:00,70.0638580322,19.961213114586897
2024-02-08 05:00:00+00:00,69.606086731,19.830793940455845
2024-02-09 05:00:00+00:00,72.096862793,20.54041675014245
2024-02-12 05:00:00+00:00,72.2117919922,20.573160111737895
2024-02-13 05:00:00+00:00,72.0918579102,20.53899085760684
2024-02-14 05:00:00+00:00,73.8629760742,21.04358292712251
2024-02-15 05:00:00+00:00,72.6215744019,20.68990723700855
2024-02-16 05:00:00+00:00,72.5765991211,20.677093766695158
2024-02-20 05:00:00+00:00,69.4171905518,19.77697736518519
2024-02-21 05:00:00+00:00,67.4381866455,19.21315858846154
2024-02-22 05:00:00+00:00,78.4986419678,22.36428546091168
2024-02-23 05:00:00+00:00,78.7775039673,22.443733324017096
2024-02-26 05:00:00+00:00,79.0523681641,22.522042211994304
2024-02-27 05:00:00+00:00,78.6615600586,22.410700871396013
2024-02-28 05:00:00+00:00,77.6240768433,22.11512160777778
2024-02-29 05:00:00+00:00,79.0723419189,22.52773274042735
2024-03-01 05:00:00+00:00,82.2377548218,23.4295597782906
2024-03-04 05:00:00+00:00,85.1942825317,24.271875365156696
2024-03-05 05:00:00+00:00,85.924949646,24.480042634188035
2024-03-06 05:00:00+00:00,88.6597061157,25.259175531538464
2024-03-07 05:00:00+00:00,92.6268997192,26.3894301194302
2024-03-08 05:00:00+00:00,87.488243103,24.92542538547009
2024-03-11 04:00:00+00:00,85.7350387573,24.42593696789174
2024-03-12 04:00:00+00:00,91.8712539673,26.174146429430202
2024-03-13 04:00:00+00:00,90.8467025757,25.882251446068377
2024-03-14 04:00:00+00:00,87.904045105,25.043887494301995
2024-03-15 04:00:00+00:00,87.7970962524,25.013417735726495
2024-03-18 04:00:00+00:00,88.4148101807,25.189404609886044
2024-03-19 04:00:00+00:00,89.3573913574,25.45794625566952
2024-03-20 04:00:00+00:00,90.330947876,25.735312785185187
2024-03-21 04:00:00+00:00,91.3934631348,26.038023685128206
2024-03-22 04:00:00+00:00,94.2461624146,26.850758522678063
2024-03-25 04:00:00+00:00,94.9588394165,27.053800403561254
2024-03-26 04:00:00+00:00,92.5189437866,26.358673443475787
2024-03-27 04:00:00+00:00,90.2089996338,25.70056969623932
2024-03-28 04:00:00+00:00,90.3149490356,25.73075471099715
2024-04-01 04:00:00+00:00,90.3219451904,25.73274791749288
2024-04-02 04:00:00+00:00,89.4113616943,25.47332242002849
2024-04-03 04:00:00+00:00,88.9235916138,25.334356585128205
2024-04-04 04:00:00+00:00,85.8659667969,24.463238403675213
2024-04-05 04:00:00+00:00,87.9680175781,25.06211327011396
2024-04-08 04:00:00+00:00,87.0934143066,24.81293854888889
2024-04-09 04:00:00+00:00,85.3152084351,24.30632718948718
2024-04-10 04:00:00+00:00,86.999458313,24.786170459544163
2024-04-11 04:00:00+00:00,90.574836731,25.804796789458692
2024-04-12 04:00:00+00:00,88.1459350586,25.112802010997154
2024-04-15 04:00:00+00:00,85.9619369507,24.490580327834756
2024-04-16 04:00:00+00:00,87.375289917,24.893244990598294
2024-04-17 04:00:00+00:00,83.9968185425,23.930717533475782
2024-04-18 04:00:00+00:00,84.6325378418,24.111834142962966
2024-04-19 04:00:00+00:00,76.1653900146,21.69954131470086
2024-04-22 04:00:00+00:00,79.4818725586,22.644408136353277
2024-04-23 04:00:00+00:00,82.385559082,23.471669254131054
2024-04-24 04:00:00+00:00,79.6408081055,22.68968891894587
2024-04-25 04:00:00+00:00,82.5944671631,23.53118722595442
2024-04-26 04:00:00+00:00,87.6951446533,24.98437169609687
2024-04-29 04:00:00+00:00,87.7171401978,24.990638232991458
2024-04-30 04:00:00+00:00,86.3627548218,24.604773453504272
2024-05-01 04:00:00+00:00,83.0032653809,23.647653954672368
2024-05-02 04:00:00+00:00,85.7780151367,24.438180950626784
2024-05-03 04:00:00+00:00,88.748664856,25.284519901994305
2024-05-06 04:00:00+00:00,92.0981369019,26.238785442136756
2024-05-07 04:00:00+00:00,90.5128555298,25.78713832757835
2024-05-08 04:00:00+00:00,90.3709259033,25.74670253655271
2024-05-09 04:00:00+00:00,88.7066879272,25.27256066301994
2024-05-10 04:00:00+00:00,89.8371734619,25.594636313931623
2024-05-13 04:00:00+00:00,90.3579330444,25.74300086735043
2024-05-14 04:00:00+00:00,91.3145065308,26.01552892615385
2024-05-15 04:00:00+00:00,94.5870056152,26.94786484763533
2024-05-16 04:00:00+00:00,94.3161315918,26.870692761196583
2024-05-17 04:00:00+00:00,92.4369888306,26.335324453162396
2024-05-20 04:00:00+00:00,94.736946106,26.99058293618234
2024-05-21 04:00:00+00:00,95.342666626,27.163152884900285
2024-05-22 04:00:00+00:00,94.906867981,27.038993726780628
2024-05-23 04:00:00+00:00,103.7518539429,29.558932747264958
2024-05-24 04:00:00+00:00,106.4206314087,30.31926820760684
2024-05-28 04:00:00+00:00,113.8492584229,32.43568616037037
2024-05-29 04:00:00+00:00,114.7728347778,32.69881332700855
2024-05-30 04:00:00+00:00,110.4498062134,31.46718125737892
2024-05-31 04:00:00+00:00,109.5831985474,31.22028448643875
2024-06-03 04:00:00+00:00,114.9477615356,32.74865001014245
2024-06-04 04:00:00+00:00,116.3841171265,33.157868127207976
2024-06-05 04:00:00+00:00,122.3843765259,34.867343739572654
2024-06-06 04:00:00+00:00,120.9430389404,34.456706250826215
2024-06-07 04:00:00+00:00,120.8330917358,34.42538226091168
2024-06-10 04:00:00+00:00,121.7346801758,34.68224506433049
2024-06-11 04:00:00+00:00,120.8650054932,34.43447449948718
2024-06-12 04:00:00+00:00,125.1534042358,35.656240523019946
2024-06-13 04:00:00+00:00,129.5617523193,36.912180147948725
2024-06-14 04:00:00+00:00,131.8309326172,37.558670261310546
2024-06-17 04:00:00+00:00,130.9312591553,37.30235303569801
2024-06-18 04:00:00+00:00,135.5295410156,38.61240484774929
2024-06-20 04:00:00+00:00,130.731338501,37.24539558433049
2024-06-21 04:00:00+00:00,126.5228881836,36.046406889914536
2024-06-24 04:00:00+00:00,118.0660400391,33.63704844418804
2024-06-25 04:00:00+00:00,126.0430679321,35.90970596356126
2024-06-26 04:00:00+00:00,126.3529586792,35.997993925698005
2024-06-27 04:00:00+00:00,123.9438552856,35.31163968250712
2024-06-28 04:00:00+00:00,123.4940261841,35.183483243333335
2024-07-01 04:00:00+00:00,124.2537460327,35.399927644643874
2024-07-02 04:00:00+00:00,122.6243438721,34.9357105048718
2024-07-03 04:00:00+00:00,128.2322540283,36.53340570606838
2024-07-05 04:00:00+00:00,125.783164978,35.83565953789174
2024-07-08 04:00:00+00:00,128.1522674561,36.5106175088604
2024-07-09 04:00:00+00:00,131.3311157227,37.416272285669514
2024-07-10 04:00:00+00:00,134.8598022461,38.421596081509975
2024-07-11 04:00:00+00:00,127.3525924683,36.28278987700855
2024-07-12 04:00:00+00:00,129.1919250488,36.806816253219374
2024-07-15 04:00:00+00:00,128.3921966553,36.57897340606838
2024-07-16 04:00:00+00:00,126.3129653931,35.98659982709402
2024-07-17 04:00:00+00:00,117.9460830688,33.60287266917379
2024-07-18 04:00:00+00:00,121.044921875,34.48573272792023
2024-07-19 04:00:00+00:00,117.8861160278,33.58578804210826
2024-07-22 04:00:00+00:00,123.4940261841,35.183483243333335
2024-07-23 04:00:00+00:00,122.5443725586,34.9129266548718
2024-07-24 04:00:00+00:00,114.2074737549,32.53774181051282
2024-07-25 04:00:00+00:00,112.2382049561,31.976696568689462
2024-07-26 04:00:00+00:00,113.0179138184,32.19883584569801
2024-07-29 04:00:00+00:00,111.5484695435,31.780190753133905
2024-07-30 04:00:00+00:00,103.6913986206,29.541709008717948
2024-07-31 04:00:00+00:00,116.9764328003,33.32661903142451
2024-08-01 04:00:00+00:00,109.1693572998,31.10238099709402
2024-08-02 04:00:00+00:00,107.2300720215,30.549878068803423
2024-08-05 04:00:00+00:00,100.412612915,28.60758202706553
2024-08-06 04:00:00+00:00,104.2111968994,29.689799686438747
2024-08-07 04:00:00+00:00,98.8731918335,28.169000522364673
2024-08-08 04:00:00+00:00,104.9309310913,29.894852162763534
2024-08-09 04:00:00+00:00,104.7110137939,29.83219766207977
2024-08-12 04:00:00+00:00,108.9794235229,31.048268809943025
2024-08-13 04:00:00+00:00,116.0967712402,33.07600320233618
2024-08-14 04:00:00+00:00,118.0360565186,33.628506130655275
2024-08-15 04:00:00+00:00,122.8142776489,34.989822691994306
2024-08-16 04:00:00+00:00,124.5336227417,35.47966459877493
2024-08-19 04:00:00+00:00,129.9516296387,37.023256307321944
2024-08-20 04:00:00+00:00,127.2026367188,36.240067441253565
2024-08-21 04:00:00+00:00,128.4521789551,36.59606238037038
2024-08-22 04:00:00+00:00,123.6939468384,35.24044069470086
2024-08-23 04:00:00+00:00,129.3218383789,36.84382859797721
2024-08-26 04:00:00+00:00,126.4129333496,36.01508072638177
2024-08-27 04:00:00+00:00,128.2522583008,36.53910492900285
2024-08-28 04:00:00+00:00,125.5632553101,35.77300721085471
2024-08-29 04:00:00+00:00,117.5462341309,33.488955592849
2024-08-30 04:00:00+00:00,119.3255767822,33.995890821139604
2024-09-03 04:00:00+00:00,107.9598007202,30.757777982962963
2024-09-04 04:00:00+00:00,106.1704711914,30.247997490427352
2024-09-05 04:00:00+00:00,107.1700973511,30.53279126811966
2024-09-06 04:00:00+00:00,102.7917327881,29.28539395672365
2024-09-09 04:00:00+00:00,106.4303741455,30.322043916096867
2024-09-10 04:00:00+00:00,108.0597610474,30.78625670866097
2024-09-11 04:00:00+00:00,116.8664855957,33.29529504150997
2024-09-12 04:00:00+00:00,119.1058502197,33.933290660883195
2024-09-13 04:00:00+00:00,119.0658569336,33.92189656227921
2024-09-16 04:00:00+00:00,116.7465209961,33.261117092905984
2024-09-17 04:00:00+00:00,115.5568618774,32.92218287105413
2024-09-18 04:00:00+00:00,113.3374938965,32.28988430099715
2024-09-19 04:00:00+00:00,117.8362121582,33.5715704154416
2024-09-20 04:00:00+00:00,115.9667510986,33.03896042695157
2024-09-23 04:00:00+00:00,116.2266769409,33.11301337347579
2024-09-24 04:00:00+00:00,120.835357666,34.42602782507122
2024-09-25 04:00:00+00:00,123.4745941162,35.17794704165242
2024-09-26 04:00:00+00:00,124.0044403076,35.328900372535614
2024-09-27 04:00:00+00:00,121.3652038574,34.57698115595442
2024-09-30 04:00:00+00:00,121.4051895142,34.588373080968665
2024-10-01 04:00:00+00:00,116.9664611816,33.32377811441596
2024-10-02 04:00:00+00:00,118.8159255981,33.85069105358974
2024-10-03 04:00:00+00:00,122.814781189,34.989966150712256
2024-10-04 04:00:00+00:00,124.884185791,35.579540111396014
2024-10-07 04:00:00+00:00,127.6833877563,36.37703354880342
2024-10-08 04:00:00+00:00,132.8518981934,37.8495436448433
2024-10-09 04:00:00+00:00,132.6119537354,37.78118340039886
2024-10-10 04:00:00+00:00,134.7713470459,38.396395169772084
2024-10-11 04:00:00+00:00,134.7613677979,38.39355207917379
2024-10-14 04:00:00+00:00,138.0304412842,39.32491204678063
2024-10-15 04:00:00+00:00,131.562286377,37.48213287094017
2024-10-16 04:00:00+00:00,135.6810913086,38.65558156940171
2024-10-17 04:00:00+00:00,136.8907470703,39.00021284054131
2024-10-18 04:00:00+00:00,137.96043396,39.30496694017094
2024-10-21 04:00:00+00:00,143.6688079834,40.93128432575499
2024-10-22 04:00:00+00:00,143.5488433838,40.897106377151
2024-10-23 04:00:00+00:00,139.5199890137,39.74928461928776
2024-10-24 04:00:00+00:00,140.3697509766,39.991382044615385
2024-10-25 04:00:00+00:00,141.499420166,40.31322511851852
2024-10-28 04:00:00+00:00,140.4797363281,40.02271690259259
2024-10-29 04:00:00+00:00,141.2095031738,40.230627684843306
2024-10-30 04:00:00+00:00,139.3000488281,39.68662359774929
2024-10-31 04:00:00+00:00,132.7219390869,37.812518258376066
2024-11-01 04:00:00+00:00,135.3611907959,38.564441822193736
2024-11-04 05:00:00+00:00,136.0110015869,38.74957310168091
2024-11-05 05:00:00+00:00,139.8698883057,39.84897102726496
